Date,Open,High,Low,Close,Volume
2022-08-09,279.6400146484375,283.0799865722656,277.6099853515625,282.29998779296875,23405200
2022-08-10,288.1700134277344,289.80999755859375,286.94000244140625,289.1600036621094,24687800
2022-08-11,290.8500061035156,291.2099914550781,286.510009765625,287.0199890136719,20065900
2022-08-12,288.4800109863281,291.9100036621094,286.94000244140625,291.9100036621094,22619700
2022-08-15,291.0,294.17999267578125,290.1099853515625,293.4700012207031,18085700
2022-08-16,291.989990234375,294.0400085449219,290.4200134277344,292.7099914550781,18102900
2022-08-17,289.739990234375,293.3500061035156,289.4700012207031,291.32000732421875,18253400
2022-08-18,290.19000244140625,291.9100036621094,289.0799865722656,290.1700134277344,17186200
2022-08-19,288.8999938964844,289.25,285.55999755859375,286.1499938964844,20570000
2022-08-22,282.0799865722656,282.4599914550781,277.2200012207031,277.75,25061100
2022-08-23,276.44000244140625,278.8599853515625,275.3999938964844,276.44000244140625,17527400
2022-08-24,275.4100036621094,277.2300109863281,275.1099853515625,275.7900085449219,18137000
2022-08-25,277.3299865722656,279.0199890136719,274.5199890136719,278.8500061035156,16583400
2022-08-26,279.0799865722656,280.3399963378906,267.9800109863281,268.0899963378906,27549300
2022-08-29,265.8500061035156,267.3999938964844,263.8500061035156,265.2300109863281,20338500
2022-08-30,266.6700134277344,267.04998779296875,260.6600036621094,262.9700012207031,22767100
2022-08-31,265.3900146484375,267.1099853515625,261.3299865722656,261.4700012207031,24791800
2022-09-01,258.8699951171875,260.8900146484375,255.41000366210938,260.3999938964844,23263400
2022-09-02,261.70001220703125,264.739990234375,254.47000122070312,256.05999755859375,22855400
2022-09-06,256.20001220703125,257.8299865722656,251.94000244140625,253.25,21328200
2022-09-07,254.6999969482422,258.8299865722656,253.22000122070312,258.0899963378906,24126700
2022-09-08,257.510009765625,260.42999267578125,254.7899932861328,258.5199890136719,20319900
2022-09-09,260.5,265.2300109863281,260.2900085449219,264.4599914550781,22084700
2022-09-12,265.7799987792969,267.45001220703125,265.1600036621094,266.6499938964844,18747700
2022-09-13,258.8399963378906,260.3999938964844,251.58999633789062,251.99000549316406,33353300
2022-09-14,253.52999877929688,254.22999572753906,249.86000061035156,252.22000122070312,23913000
2022-09-15,249.77000427246094,251.39999389648438,244.02000427246094,245.3800048828125,31530900
2022-09-16,244.25999450683594,245.3000030517578,242.05999755859375,244.74000549316406,39791800
